date_id, file_name, date
358,WEBPXTICK_DT-20120106.gz,20120106
359,WEBPXTICK_DT-20120105.gz,20120105
360,WEBPXTICK_DT-20120104.gz,20120104
361,WEBPXTICK_DT-20120103.gz,20120103
362,WEBPXTICK_DT-20120102.gz,20120102
363,WEBPXTICK_DT-20111230.gz,20111230
364,WEBPXTICK_DT-20111229.gz,20111229
365,WEBPXTICK_DT-20111228.gz,20111228
366,WEBPXTICK_DT-20111227.gz,20111227
367,WEBPXTICK_DT-20111226.gz,20111226
368,WEBPXTICK_DT-20111223.gz,20111223
369,WEBPXTICK_DT-20111222.gz,20111222
370,WEBPXTICK_DT-20111221.gz,20111221
371,WEBPXTICK_DT-20111220.gz,20111220
372,WEBPXTICK_DT-20111219.gz,20111219
373,WEBPXTICK_DT-20111216.gz,20111216
374,WEBPXTICK_DT-20111215.gz,20111215
375,WEBPXTICK_DT-20111214.gz,20111214
376,WEBPXTICK_DT-20111213.gz,20111213
377,WEBPXTICK_DT-20111212.gz,20111212
378,WEBPXTICK_DT-20111209.gz,20111209
379,WEBPXTICK_DT-20111208.gz,20111208
380,WEBPXTICK_DT-20111207.gz,20111207
381,WEBPXTICK_DT-20111206.gz,20111206
382,WEBPXTICK_DT-20111205.gz,20111205
383,WEBPXTICK_DT-20111202.gz,20111202
384,WEBPXTICK_DT-20111201.gz,20111201
385,WEBPXTICK_DT-20111130.gz,20111130
386,WEBPXTICK_DT-20111129.gz,20111129
387,WEBPXTICK_DT-20111128.gz,20111128
388,WEBPXTICK_DT-20111125.gz,20111125
389,WEBPXTICK_DT-20111124.gz,20111124
390,WEBPXTICK_DT-20111123.gz,20111123
391,WEBPXTICK_DT-20111122.gz,20111122
392,WEBPXTICK_DT-20111121.gz,20111121
393,WEBPXTICK_DT-20111118.gz,20111118
394,WEBPXTICK_DT-20111117.gz,20111117
395,WEBPXTICK_DT-20111116.gz,20111116
396,WEBPXTICK_DT-20111115.gz,20111115
397,WEBPXTICK_DT-20111114.gz,20111114
398,WEBPXTICK_DT-20111111.gz,20111111
